,PH,TURBIDEZ,TEMPERATURA_AGUA,COND_ELETRICA_ESPECIFICA,TEMPERATURA_AR,OXIGENIO_DISSOLVIDO,SALINIDADE,ALCALINIDADE,SOLIDOS_DISSOLVIDOS,TRANSPARENCIA_AGUA,SOLIDOS_SUSPENSOS,PROFUNDIDADE,CLORETO_TOTAL,NITRATO,ORTOFOSFATO,FOSFORO_TOTAL,NITROGENIO_AMONIACAL,VAZAO,FLUORETO_TOTAL,BROMETO_TOTAL,NITRITO,SULFATO,FOSFATO_TOTAL
SOLIDOS_SUSPENSOS,0.14565896844455678,-0.03726345450780431,0.06931446669044433,0.32475081578040527,-0.023996107595161006,0.046544536323196634,0.33325193844665113,-0.1364544036326053,0.8623394241984818,-0.0826718989361116,1.0,-0.1838121288947375,0.05000907328458472,-0.047577649538419656,0.019197772494301355,0.22150293214090366,0.20151591915458428,0.08104415892536933,0.3682091313413354,0.08407110773487005,0.3682091313413354,-0.02720908874047911,0.3682091313413354
PROFUNDIDADE,-0.5395103076186953,0.20685256742573652,-0.09048212287635085,0.15189066569926635,-0.06815295835525624,-0.1396909752900114,0.11596605677391454,0.3666215945664885,-0.22552969769935405,-0.08761932344328842,-0.1838121288947375,1.0,0.15996111134437868,0.11183494464238866,0.11544710404552078,0.48396590584384536,-0.13706678886756607,0.3014525600937557,,0.4871837226343294,,0.4906055661289635,
CLORETO_TOTAL,0.012993852205578263,0.06067995327162634,0.046520752315065805,0.2975047837755983,-0.10945546054954167,0.004297971294044295,0.295624648045924,0.17023984853089172,0.246689634980832,-0.012224935447798811,0.05000907328458472,0.15996111134437868,1.0,-0.07340026688587803,-0.05449452545705221,0.2783719049226611,-0.04655879976242217,-0.1393041178197369,-0.20747620590063484,0.9103410105934295,-0.20747620590063484,0.8197950031699083,-0.20747620590063484
NITRATO,0.06961284441729784,0.41469629321548673,0.2716936067458227,-0.15390050280743142,0.21112947254064462,0.028053303459868187,-0.1708428891431514,0.011047360071721468,-0.16951266573862567,-0.3358495837974502,-0.047577649538419656,0.11183494464238866,-0.07340026688587803,1.0,-0.10068837551118504,0.13693303371022073,0.22832505581929838,0.2428526274106971,0.455470089040464,-0.10517254083754855,0.455470089040464,-0.12556667080509876,0.455470089040464
ORTOFOSFATO,-0.11441541040683666,0.19111154022529944,0.10949250340519637,0.0626848886880976,0.250027698716572,-0.145155820909601,0.06696665055166832,-0.13841567467564406,0.4414363488372714,0.2548177541893602,0.019197772494301355,0.11544710404552078,-0.05449452545705221,-0.10068837551118504,1.0,0.05893568542134819,0.005355270036497546,-0.22284925059231067,,,,,
FOSFORO_TOTAL,0.13659386994318723,0.22091493914125568,0.49147959914552186,0.014869387773403244,0.15819832326752511,0.12740412389823108,0.00564367014905897,-0.1252942620262477,-0.23242001016203315,-0.18803837280166902,0.22150293214090366,0.48396590584384536,0.2783719049226611,0.13693303371022073,0.05893568542134819,1.0,-0.0892254277089456,0.8502522731522795,,,,,
NITROGENIO_AMONIACAL,0.2469349687926747,0.03808600915447648,0.19143603513779192,0.23748040229562353,0.23914583836898393,-0.18335310939839713,0.2476152549086638,-0.2362745908151075,-0.06163211835569735,0.1187416455629002,0.20151591915458428,-0.13706678886756607,-0.04655879976242217,0.22832505581929838,0.005355270036497546,-0.0892254277089456,1.0,-0.47608941420993883,,,,,
VAZAO,-0.40124299292788873,0.3818889187484939,-0.4469953193712179,-0.12741769811394688,-0.08110763808049111,-0.33294703049483626,-0.09865504577808212,-0.019084197506458872,-0.062331063268350854,-0.3026209994476651,0.08104415892536933,0.3014525600937557,-0.1393041178197369,0.2428526274106971,-0.22284925059231067,0.8502522731522795,-0.47608941420993883,1.0,0.8173723961761965,0.2086332655582063,0.8173723961761965,0.15405003507744014,0.8173723961761965
FLUORETO_TOTAL,-0.6773355288764553,0.13128553318540742,-0.4733055239540726,0.07859746689381532,-0.252704824285944,0.10842047519954678,0.095364322059878,-0.971913057730971,0.1203538793521775,-0.48632477246075173,0.3682091313413354,,-0.20747620590063484,0.455470089040464,,,,0.8173723961761965,1.0,-0.1302302171286029,1.0,-0.45141961510026746,1.0
BROMETO_TOTAL,0.08794920459502337,0.270906068030885,-0.03404451525364164,0.5330254713970851,-0.27532151428237084,0.003362722983245305,0.5303329432949322,0.16370278497466065,0.21012122784504367,0.03187088642991889,0.08407110773487005,0.4871837226343294,0.9103410105934295,-0.10517254083754855,,,,0.2086332655582063,-0.1302302171286029,1.0,-0.13023021712860292,0.895405220688981,-0.13023021712860292
NITRITO,-0.6773355288764553,0.13128553318540742,-0.4733055239540726,0.07859746689381532,-0.252704824285944,0.10842047519954678,0.095364322059878,-0.971913057730971,0.1203538793521775,-0.48632477246075173,0.3682091313413354,,-0.20747620590063484,0.455470089040464,,,,0.8173723961761965,1.0,-0.13023021712860292,1.0,-0.45141961510026746,1.0
SULFATO,0.3816304222635945,0.029057646637920646,0.24331944527844204,0.35041973393772197,-0.10746883413203603,0.062318947342422444,0.3397293289047322,0.4470334697837607,-0.0014807179999554456,0.31252037278037353,-0.02720908874047911,0.4906055661289635,0.8197950031699083,-0.12556667080509876,,,,0.15405003507744014,-0.45141961510026746,0.895405220688981,-0.45141961510026746,1.0,-0.45141961510026757
FOSFATO_TOTAL,-0.6773355288764553,0.13128553318540742,-0.4733055239540726,0.07859746689381532,-0.252704824285944,0.10842047519954678,0.095364322059878,-0.971913057730971,0.1203538793521775,-0.48632477246075173,0.3682091313413354,,-0.20747620590063484,0.455470089040464,,,,0.8173723961761965,1.0,-0.13023021712860292,1.0,-0.45141961510026757,1.0
