RNQA,CORPODAGUA,PERIODO,PARAMETRO,N_VALIDO,MEDIA,MEDIANA,DESVIO_PADRAO,MINIMO,MAXIMO
MA-7185-I-10,RIO ITAPECURU,9.0,PH,2,6.62,6.62,0.0424264068711932,6.59,6.65
MA-7185-I-10,RIO ITAPECURU,10.0,PH,2,6.8100000000000005,6.8100000000000005,0.09899494936611673,6.74,6.88
MA-7185-I-11,RIO ITAPECURU,3.0,PH,2,7.135,7.135,0.03535533905932756,7.11,7.16
MA-7185-I-11,RIO ITAPECURU,4.0,PH,2,7.295,7.295,0.1343502884254437,7.2,7.39
MA-7185-I-11,RIO ITAPECURU,5.0,PH,2,7.095000000000001,7.095000000000001,0.261629509039023,6.91,7.28
MA-7185-I-11,RIO ITAPECURU,6.0,PH,2,7.225,7.225,0.41719300090006295,6.93,7.52
MA-7185-I-11,RIO ITAPECURU,7.0,PH,2,7.220000000000001,7.220000000000001,0.2121320343559638,7.07,7.37
MA-7185-I-11,RIO ITAPECURU,8.0,PH,2,6.55,6.55,0.9475230867899735,5.88,7.22
MA-7185-I-11,RIO ITAPECURU,9.0,PH,2,6.375,6.375,0.021213203435595972,6.36,6.39
MA-7185-I-11,RIO ITAPECURU,10.0,PH,2,6.654999999999999,6.654999999999999,0.2616295090390223,6.47,6.84
MA-7185-I-12,RIO ITAPECURU,3.0,PH,2,6.785,6.785,0.2050609665440991,6.64,6.93
MA-7185-I-12,RIO ITAPECURU,4.0,PH,2,7.425000000000001,7.425000000000001,0.021213203435596916,7.41,7.44
MA-7185-I-12,RIO ITAPECURU,5.0,PH,2,6.4399999999999995,6.4399999999999995,1.1313708498984762,5.64,7.24
MA-7185-I-12,RIO ITAPECURU,6.0,PH,2,7.35,7.35,0.0848528137423861,7.29,7.41
MA-7185-I-12,RIO ITAPECURU,7.0,PH,2,7.1899999999999995,7.1899999999999995,0.1555634918610406,7.08,7.3
MA-7185-I-12,RIO ITAPECURU,8.0,PH,2,6.79,6.79,0.6081118318204305,6.36,7.22
MA-7185-I-12,RIO ITAPECURU,9.0,PH,2,6.745,6.745,0.07778174593051983,6.69,6.8
MA-7185-I-12,RIO ITAPECURU,10.0,PH,2,7.005,7.005,0.45961940777125615,6.68,7.33
MA-7185-I-3,RIO TAPUIO,2.0,PH,2,5.654999999999999,5.654999999999999,2.0859650045003155,4.18,7.13
