ID_AMOSTRA,LINHA_BASE,ANO,PERIODO,CAMPANHA,ABA_ORIGEM,LINHA_ORIGEM,RNQA,HIDRO,ROTA,MUNICIPIO,CORPODAGUA,NUMERO_COLETA,NUMERO_LAUDO,DATA_COLETA,HORARIO_COLETA,NUMERO_MEDICAO,LATITUDE,LONGITUDE,CHOVEU_EM_24H,PROFUNDIDADE,VAZAO,TEMPERATURA_AR,TEMPERATURA_AGUA,PH,OXIGENIO_DISSOLVIDO,COND_ELETRICA_ESPECIFICA,TURBIDEZ,SALINIDADE,ALCALINIDADE,TRANSPARENCIA_AGUA,SOLIDOS_DISSOLVIDOS,SOLIDOS_SUSPENSOS,CLORETO_TOTAL,FLUORETO_TOTAL,BROMETO_TOTAL,NITRATO,NITRITO,SULFATO,FOSFATO_TOTAL,ORTOFOSFATO,FOSFORO_TOTAL,NITROGENIO_AMONIACAL,SITUACAO,OBSERVACOES,ORIG_FLUORETO_TOTAL,ORIG_BROMETO_TOTAL,ORIG_NITRATO,ORIG_NITRITO,ORIG_SULFATO,ORIG_FOSFATO_TOTAL,BACIA_ITAPECURU,CRITERIO_BACIA,FLAG_VALOR_INVALIDO,MOTIVO_VALOR_INVALIDO,VALIDO_PARA_CALCULO,OUTLIER_PROFUNDIDADE,OUTLIER_VAZAO,OUTLIER_TEMPERATURA_AR,OUTLIER_TEMPERATURA_AGUA,OUTLIER_PH,OUTLIER_OXIGENIO_DISSOLVIDO,OUTLIER_COND_ELETRICA_ESPECIFICA,OUTLIER_TURBIDEZ,OUTLIER_SALINIDADE,OUTLIER_ALCALINIDADE,OUTLIER_TRANSPARENCIA_AGUA,OUTLIER_SOLIDOS_DISSOLVIDOS,OUTLIER_SOLIDOS_SUSPENSOS,OUTLIER_CLORETO_TOTAL,OUTLIER_FLUORETO_TOTAL,OUTLIER_BROMETO_TOTAL,OUTLIER_NITRATO,OUTLIER_NITRITO,OUTLIER_SULFATO,OUTLIER_FOSFATO_TOTAL,OUTLIER_ORTOFOSFATO,OUTLIER_FOSFORO_TOTAL,OUTLIER_NITROGENIO_AMONIACAL,N_OUTLIERS_LINHA
ITA-0166,1141,2021,6.0,2.0,2021- 6° PERIODO 2A CAMPANHA,89,MA-7185-I-11,33550020.0,6.0,CAXIAS,RIO ITAPECURU,116,116,2021-06-01,13:20:00,2.0,-4.79385,-43.39044,,,,27.95,28.4,7.52,7.25,74.1,22.98,0.03,10.0,0.6,120.0,7.6,,,,,,,,,,,,,,,,,,,SIM,RIO PRINCIPAL DA BACIA,NAO,,True,,,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,0
ITA-0167,1143,2021,6.0,2.0,2021- 6° PERIODO 2A CAMPANHA,91,MA-7183-I-4,33630010.0,6.0,COROATA,RIO ITAPECURU,109,109,2021-05-31,11:38:00,2.0,-3.96523,-44.18753,,,,28.25,30.46,8.04,8.26,115.7,18.5,0.05,12.0,0.6,160.0,6.0,,,,,,,,,,,,,,,,,,,SIM,RIO PRINCIPAL DA BACIA,NAO,,True,,,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,0
ITA-0168,1144,2021,6.0,2.0,2021- 6° PERIODO 2A CAMPANHA,92,MA-7182-I-3,33661020.0,6.0,PIRAPEMAS,RIO PERITORO,105,105,2021-05-31,09:52:00,2.0,-3.86289,-44.28726,,,,27.42,29.79,7.15,6.55,226.5,55.46,0.11,8.0,0.2,220.0,12.8,,,,,,,,,,,,,,,,,,,SIM,AFLUENTE OFICIAL DO ITAPECURU (CODEVASF/IBGE; NUGEO-UEMA),NAO,,True,,,False,False,False,False,True,False,True,False,False,False,False,,,,,,,,,,,2
ITA-0169,1145,2021,6.0,2.0,2021- 6° PERIODO 2A CAMPANHA,93,MA-7182-I-2,33661010.0,6.0,PIRAPEMAS,RIO PERITORO,106,106,2021-05-31,09:22:00,2.0,-3.8121,-44.2575,,,,30.1,29.52,7.18,6.54,222.6,47.7,0.1,24.0,0.6,220.0,10.8,,,,,,,,,,,,,,,,,,,SIM,AFLUENTE OFICIAL DO ITAPECURU (CODEVASF/IBGE; NUGEO-UEMA),NAO,,True,,,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,0
ITA-0170,1146,2021,6.0,2.0,2021- 6° PERIODO 2A CAMPANHA,94,MA-7185-I-12,,6.0,CAXIAS,RIO ITAPECURU,117,117,2021-06-01,10:58:00,2.0,-5.08417,-43.4653,,,,24.89,27.97,7.41,7.39,59.0,23.39,0.03,20.0,0.4,80.0,12.4,,,,,,,,,,,HIDRO NAO INFORMADO NA ORIGEM (AUSENTE),,,,,,,,SIM,RIO PRINCIPAL DA BACIA,NAO,,True,,,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,0
ITA-0171,1148,2021,6.0,2.0,2021- 6° PERIODO 2A CAMPANHA,96,MA-7185-I-8,33550000.0,6.0,CAXIAS,RIO ITAPECURU,118,118,2021-06-01,12:00:00,2.0,-4.86732,-43.37428,,,44.5,25.75,28.26,7.42,7.26,72.0,23.31,0.03,12.0,0.6,60.0,30.0,,,,,,,,,,,,,,,,,,,SIM,RIO PRINCIPAL DA BACIA,NAO,,True,,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,0
ITA-0172,1149,2021,6.0,2.0,2021- 6° PERIODO 2A CAMPANHA,97,MA-7185-I-1,33661000.0,6.0,PIRAPEMAS,RIACHO PERITORO,108,108,2021-05-31,07:59:00,2.0,-3.70923,-44.28725,,,10.1,27.67,28.8,7.53,6.71,174.4,37.3,0.08,24.0,0.4,240.0,18.8,,,,,,,,,,,,,,,,,,,SIM,AFLUENTE OFICIAL DO ITAPECURU (CODEVASF/IBGE; NUGEO-UEMA),NAO,,True,,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,0
ITA-0173,1150,2021,6.0,2.0,2021- 6° PERIODO 2A CAMPANHA,98,MA-7183-I-3,33630000.0,6.0,COROATA,RIO ITAPECURU,110,110,2021-05-31,13:45:00,2.0,-4.12531,-44.12985,,,54.8,25.97,30.46,7.84,8.04,112.4,15.26,0.02,10.0,0.6,140.0,8.0,,,,,,,,,,,,,,,,,,,SIM,RIO PRINCIPAL DA BACIA,NAO,,True,,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,0
ITA-0174,1151,2021,6.0,2.0,2021- 6° PERIODO 2A CAMPANHA,99,MA-7185-I-7,33590000.0,6.0,CODO,RIO ITAPECURU,113,113,2021-05-31,15:05:00,2.0,-4.45527,-43.87951,,,62.1,26.6,30.38,7.64,7.61,81.3,32.98,0.04,12.0,0.4,80.0,34.4,,,,,,,,,,,,,,,,,,,SIM,RIO PRINCIPAL DA BACIA,NAO,,True,,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,0
ITA-0175,1152,2021,6.0,2.0,2021- 6° PERIODO 2A CAMPANHA,100,MA-7185-I-10,33550010.0,6.0,CAXIAS,RIO ITAPECURU,115,115,2021-06-01,14:14:00,2.0,-4.67734,-43.5426,,,,25.91,29.28,7.58,7.45,71.6,23.87,0.03,8.0,0.4,140.0,9.2,,,,,,,,,,,,,,,,,,,SIM,RIO PRINCIPAL DA BACIA,NAO,,True,,,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,0
ITA-0176,1154,2021,7.0,1.0,2021 -7° PERIODO 1A CAMPANHA,3,MA-7181-I-4,33698050.0,1.0,ROSARIO,RIO ITAPECURU,161,161,2021-11-25,14:25:00,1.0,-3.05814,-44.25304,NAO,0.0,,27.0,31.05,7.36,6.87,74.0,47.5,0.03,16.0,0.5,40.0,30.0,343.42,,,4.74,,,,0.0,1.52,0.08,,,,,,,,,SIM,RIO PRINCIPAL DA BACIA,NAO,,True,False,,False,False,False,False,False,False,False,False,False,False,False,True,,,False,,,,False,False,False,1
ITA-0177,1156,2021,7.0,1.0,2021 -7° PERIODO 1A CAMPANHA,5,MA-7181-I-2,33693000.0,1.0,SANTA RITA,RIO ITAPECURU,163,163,2021-11-25,13:22:00,1.0,-3.16122,-44.2864,NAO,0.0,,26.9,31.59,7.25,7.06,68.8,51.7,0.03,18.0,0.3,40.0,25.33,2.97,,,3.68,,,,0.0,1.02,0.02,,,,,,,,,SIM,RIO PRINCIPAL DA BACIA,NAO,,True,False,,False,False,False,False,False,False,False,False,False,False,False,False,,,False,,,,False,False,False,0
ITA-0178,1158,2021,7.0,1.0,2021 -7° PERIODO 1A CAMPANHA,7,MA-7181-I-3,33685000.0,1.0,ITAPECURU-MIRIM,RIO ITAPECURU,165,165,2021-11-25,09:51:00,1.0,-3.59755,-44.40045,NAO,0.0,,28.83,30.38,7.04,6.68,79.7,120.7,0.04,12.0,0.25,60.0,29.6,3.96,,,13.06,,,,0.0,1.02,0.3,,,,,,,,,SIM,RIO PRINCIPAL DA BACIA,NAO,,True,False,,False,False,False,False,False,True,False,False,False,False,False,False,,,True,,,,False,False,False,2
ITA-0179,1159,2021,7.0,1.0,2021 -7° PERIODO 1A CAMPANHA,8,MA-7181-I-1,33690000.0,1.0,ITAPECURU-MIRIM,RIO ITAPECURU,166,166,2021-11-25,11:16:00,1.0,-3.3745,-44.34607,NAO,0.0,,29.02,30.24,7.07,6.48,72.6,135.7,0.03,16.0,0.2,40.0,32.4,8.91,,,6.6,,,,1.4,0.0,0.02,,,,,,,,,SIM,RIO PRINCIPAL DA BACIA,NAO,,True,False,,False,False,False,False,False,True,False,False,False,False,False,False,,,True,,,,False,False,False,2
ITA-0180,1165,2021,7.0,1.0,2021 -7° PERIODO 1A CAMPANHA,14,MA-7191-IE-4,33698000.0,1.0,ROSARIO,RIO ITAPECURU,172,172,2021-11-25,15:39:00,1.0,-2.9007,-44.24333,NAO,0.0,,25.3,30.46,7.77,7.25,256.8,112.9,0.12,14.0,0.2,140.0,54.0,9.9,,,1.46,,,,0.0,0.38,0.3,,,,,,,,,SIM,RIO PRINCIPAL DA BACIA,NAO,,True,False,,False,False,False,False,True,True,True,False,False,False,False,False,,,False,,,,False,False,False,3
ITA-0181,1168,2021,7.0,1.0,2021 -7° PERIODO 1A CAMPANHA,17,MA-7164-I-19,33680001.0,1.0,CANTANHEDE,RIO ITAPECURU,175,175,2021-11-25,09:11:00,1.0,-3.63234,-44.37604,NAO,0.0,50.93,27.95,30.15,7.45,6.7,84.6,119.3,0.04,16.0,0.25,60.0,37.23,20.78,,,13.9,,,,0.0,0.0,0.16,,,,,,,,,SIM,RIO PRINCIPAL DA BACIA,NAO,,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,True,,,,False,False,False,2
ITA-0182,1231,2021,7.0,1.0,2021 -7° PERIODO 1A CAMPANHA,80,MA-7185-I-3,33631001.0,5.0,SAO MATEUS DO MARANHAO,RIO TAPUIO,238,238,2021-12-01,10:45:00,1.0,-4.01091,-44.44142,NAO,0.0,,28.26,29.48,6.64,2.36,183.9,50.97,0.09,10.0,,119.55,11.33,19.8,,,2.21,,,,0.0,0.22,0.4,NAO MEDIDO,,,,,,,,SIM,AFLUENTE OFICIAL DO ITAPECURU (CODEVASF/IBGE; NUGEO-UEMA),NAO,,True,False,,False,False,False,True,False,False,False,False,,False,False,False,,,False,,,,False,False,False,1
ITA-0183,1242,2021,7.0,1.0,2021 -7° PERIODO 1A CAMPANHA,91,MA-7185-I-5,33638000.0,6.0,COROATA,RIO PIRAPEMAS,254,254,2021-12-01,14:27:00,1.0,-3.93618,-44.01845,NAO,0.634,,30.73,32.33,6.62,6.76,188.7,4.01,0.09,16.0,0.4,120.0,3.6,59.38,,,0.4,,,,3.06,0.72,0.04,,,,,,,,,SIM,AFLUENTE OFICIAL DO ITAPECURU (CODEVASF/IBGE; NUGEO-UEMA),NAO,,True,False,,False,False,False,False,False,False,False,False,False,False,False,True,,,False,,,,False,False,False,1
ITA-0184,1243,2021,7.0,1.0,2021 -7° PERIODO 1A CAMPANHA,92,MA-7185-I-11,33550020.0,6.0,CAXIAS,RIO ITAPECURU,259,259,2021-12-02,09:32:00,1.0,-4.79385,-43.39044,NAO,0.675,,27.45,28.89,7.07,6.77,69.9,47.14,0.03,22.0,0.3,20.0,18.2,14.85,,,1.73,,,,0.96,2.01,0.0,,,,,,,,,SIM,RIO PRINCIPAL DA BACIA,NAO,,True,False,,False,False,False,False,False,False,False,False,False,False,False,False,,,False,,,,False,True,False,1
ITA-0185,1245,2021,7.0,1.0,2021 -7° PERIODO 1A CAMPANHA,94,MA-7183-I-4,33630010.0,6.0,COROATA,RIO ITAPECURU,252,252,2021-12-01,11:31:00,1.0,-3.96523,-44.18753,NAO,0.716,,30.92,30.84,7.24,6.93,76.0,57.41,0.03,22.0,0.3,80.0,16.2,14.85,,,18.55,,,,1.57,0.49,0.25,,,,,,,,,SIM,RIO PRINCIPAL DA BACIA,NAO,,True,False,,False,False,False,False,False,False,False,False,False,False,False,False,,,True,,,,False,False,False,1
